,ID,STA,COMP,TIME,DURATION,CONDITION,fq,fq_prob,width,S,S_r1,S_r2,S_r,N_T,R,R_r1,R_r2,R_r,N_R,cp,cl,H,H_r1,H_r2,H_r,N_H,V,V_r1,V_r2,V_r,N_V,N_L
1,12NB1,CNA,SHZ,2012-06-14 16:20,7.0,0,1.0712372529,5.0946300013,0.0149083158,-139.719088017,-143.183268545,-135.455481214,7.7277873312,199,0.1182364729,0.0280561122,0.2164328657,0.1883767535,9.0,0.0452261307,,,,,,,,,,,,
2,12NB1,CNA,SHZ,2012-06-14 16:20,7.0,0,1.1247282439,4.4599337012,0.0135995888,-140.527586362,-142.834202187,-137.700121801,5.1340803861,178,,,,,,,,,,,,,,,,,,
3,12NB1,CNA,SHZ,2012-06-14 16:20,7.0,0,1.3981266423,1.3277751399,0.0492814895,-145.871202427,-148.235452411,-143.152314945,5.0831374664,117,,,,,,,,,,,,,,,,,,
4,12NB2,CNA,SHZ,2012-06-15 19:00,4.6666666667,-1,1.0729186217,2.4456020644,0.0146876839,-138.912997259,-148.168057306,-127.196485072,20.9715722338,132,,,,,,,,,,,,,,,,,,
5,12NB2,CNA,SHZ,2012-06-15 19:00,4.6666666667,-1,1.1361459115,2.5852252372,0.0130288426,-139.465108592,-149.031837081,-126.845168884,22.1866681972,105,,,,,,,,,,,,,,,,,,
6,12NB2,CNA,SHZ,2012-06-15 19:00,4.6666666667,-1,1.3373236518,2.1622842161,0.0126609575,-137.862301844,-146.088968954,-131.0479381,15.0410308532,125,,,,,,,,,,,,,,,,,,
7,12NB2,CNA,SHZ,2012-06-15 19:00,4.6666666667,-1,1.4082148555,2.4321636056,0.0883692894,-139.874108263,-145.173630219,-132.438958055,12.7346721641,661,0.3246492986,0.2124248497,0.4368737475,0.2244488978,48.0,0.0726172466,,,,,,,,,,,,
8,12NB2,CNA,SHZ,2012-06-15 19:00,4.6666666667,-1,1.4733581237,2.2555040896,0.0138494312,-140.251388305,-146.28238441,-133.363529366,12.918855044,133,0.3226452906,0.2064128257,0.4408817635,0.2344689378,26.0,0.1954887218,,,,,,,,,,,,
9,12NB3,CNA,SHZ,2012-07-11 00:00,139.666666667,1,1.0176778341,2.3625422159,0.0082102555,-143.520395191,-146.85807363,-140.040687882,6.8173857481,2768,,,,,,,,,,,,,,,,,,
10,12NB3,CNA,SHZ,2012-07-11 00:00,139.666666667,1,1.0728306431,2.0362283547,0.0124530243,-144.718409628,-148.309531095,-141.273864547,7.035666548,3478,,,,,,,,,,,,,,,,,,
11,12NB3,CNA,SHZ,2012-07-11 00:00,139.666666667,1,1.1279834522,2.1038121726,0.0131422461,-145.682156182,-149.628952562,-142.155231759,7.4737208028,2639,,,,,,,,,,,,,,,,,,
12,12NB3,CNA,SHZ,2012-07-11 00:00,139.666666667,1,1.1988942067,1.5194230991,0.0126134587,-148.604097324,-152.205175427,-144.81834855,7.3868268764,2745,,,,,,,,,,,,,,,,,,
13,12NB3,CNA,SHZ,2012-07-11 00:00,139.666666667,1,1.289502393,0.9097783314,0.0013554612,-148.882673183,-152.917691707,-145.081568777,7.8361229295,611,,,,,,,,,,,,,,,,,,
14,12NB3,CNA,SHZ,2012-07-11 00:00,139.666666667,1,1.3407157157,1.6838737703,0.0108879378,-147.706379678,-151.721862854,-143.788835116,7.9330277376,1977,,,,,,,,,,,,,,,,,,
15,12NB3,CNA,SHZ,2012-07-11 00:00,139.666666667,1,1.3998080111,2.2772266147,0.0260317376,-147.198262431,-150.61143486,-144.002952071,6.608482789,6891,0.3046092184,0.122244489,0.496993988,0.374749499,8.0,0.0011609346,,,,,,,,,,,,
16,12NB3,CNA,SHZ,2012-07-11 00:00,139.666666667,1,1.4707187656,1.5992062018,0.0150182552,-149.26982927,-152.920301112,-145.505280183,7.4150209293,2712,0.3246492986,0.2224448898,0.4168336673,0.1943887775,71.0,0.026179941,,,,,,,,,,,,
17,12NB3,CNA,SHZ,2012-07-11 00:00,139.666666667,1,1.5455690065,1.1549501751,0.0109293013,-150.199314156,-153.591820849,-146.806807463,6.7850133861,1507,,,,,,,,,,,,,,,,,,
18,12NB3,CNA,SHZ,2012-07-11 00:00,139.666666667,1,1.616479761,0.9005144036,0.0141031978,-151.154932209,-154.009904728,-148.237895071,5.7720096566,1154,,,,,,,,,,,,,,,,,,
19,12NB3,CNA,SHZ,2012-07-11 00:00,139.666666667,1,1.6913300019,0.3986454642,0.0137129123,-151.558817464,-154.712007939,-148.63085488,6.0811530593,695,,,,,,,,,,,,,,,,,,
20,12NB3,CNA,SHZ,2012-07-11 00:00,139.666666667,1,1.75830127,0.7594968595,0.0170962308,-151.381760928,-154.165017076,-148.532236776,5.6327803006,1348,,,,,,,,,,,,,,,,,,
21,12NB4,CNA,SHZ,2012-08-03 00:20,16.3333333333,-1,1.0131322729,2.8958056385,0.0063999697,-152.659364444,-156.554336273,-150.391406164,6.1629301082,157,,,,,,,,,,,,,,,,,,
22,12NB4,CNA,SHZ,2012-08-03 00:20,16.3333333333,-1,1.0713154561,2.0823801575,0.0117524877,-155.055456677,-158.147133867,-151.915091658,6.2320422094,182,,,,,,,,,,,,,,,,,,
23,12NB4,CNA,SHZ,2012-08-03 00:20,16.3333333333,-1,1.1331350882,1.3951431665,0.0140002747,-155.421194317,-159.132608234,-152.387516855,6.745091379,162,,,,,,,,,,,,,,,,,,
24,12NB4,CNA,SHZ,2012-08-03 00:20,16.3333333333,-1,1.4095052083,4.6477087043,0.0266290257,-145.23724775,-151.071457674,-142.222905956,8.8485517176,880,,,,,,,,,,,,,,,,,,
25,12NB4,CNA,SHZ,2012-08-03 00:20,16.3333333333,-1,1.4676883915,2.7668172923,0.0117013105,-149.951966922,-153.419801884,-145.950618889,7.4691829949,246,,,,,,,,,,,,,,,,,,
26,12NB5,CNA,SHZ,2012-08-05 14:20,19.0,0,1.1392935905,5.170927245,0.0115392011,-140.063657099,-144.817424277,-135.810286467,9.0071378108,242,0.5130260521,0.2985971944,0.7394789579,0.4408817635,9.0,0.0371900826,,,,,,,,,,,,
27,12NB5,CNA,SHZ,2012-08-05 14:20,19.0,0,1.1926672767,5.6606899966,0.0572165362,-139.593994874,-144.492761157,-136.396189107,8.0965720504,1062,0.3366733467,0.2004008016,0.503006012,0.3026052104,345.0,0.3248587571,,,,,,,,,,,,
28,12NB6,CNA,SHZ,2012-09-21 17:40,33.6666666667,0,1.0177658127,2.2164936455,0.0082933935,-149.47326229,-153.45823012,-144.95931643,8.4989136904,622,,,,,,,,,,,,,,,,,,
