,EP,STA,COMP,fq,fq_prob,width,S,S_r1,S_r2,S_r,N_T,R,R_r1,R_r2,R_r,N_R,cp,cl,H,H_r1,H_r2,H_r,N_H,V,V_r1,V_r2,V_r,N_V,N_L
1,EP1,NAN3,HHZ,1.0194276308,1.8620429265,0.010472352400000001,-141.099853745,-151.3908073869,-131.2047060124,20.1861013745,993,0.3647294589,0.2324649299,0.4629258517,0.2304609218,9.0,0.0090634441,,,,,,,,,,,,
2,EP1,NAN3,HHZ,1.0872689095,1.5260515603,0.0188377661,-142.8449714982,-153.466220527,-132.2858350368,21.1803854902,1515,0.1963927856,0.0881763527,0.3647294589,0.2765531062,7.0,0.0046204620000000005,,,,,,,,,,,,
3,EP1,NAN3,HHZ,1.1381498686,1.2765626035,0.0054721288,-142.9822471787,-154.4228876913,-132.7251212019,21.6977664894,649,,,,,,,,,,,,,,,,,,
4,EP1,NAN3,HHZ,1.2025990835,1.1412978448,0.0117012356,-146.5073560818,-155.4263519104,-135.966724648,19.4596272624,851,,,,,,,,,,,,,,,,,,
5,EP1,NAN3,HHZ,1.2500879785999999,0.8941473434,0.0077408694,-149.7237252826,-154.3017136568,-137.5462762072,16.7554374496,274,,,,,,,,,,,,,,,,,,
6,EP1,NAN3,HHZ,1.341673705,1.1534851728,0.0080161558,-140.0835467321,-151.0460235351,-129.9689963117,21.0770272234,595,,,,,,,,,,,,,,,,,,
7,EP1,NAN3,HHZ,1.3993387919,1.9974953152000001,0.0246805491,-140.7044482336,-151.2512086857,-129.7520431488,21.4991655369,2265,0.4749498998,0.33266533070000004,0.5991983968,0.2665330661,27.0,0.011920529800000001,,,,,,,,,,,,
8,EP1,NAN3,HHZ,1.4671800707,1.1604529911,0.0146505798,-143.0410226122,-154.0061469833,-132.1510018328,21.8551451505,877,0.5130260521000001,0.41482965930000004,0.621242485,0.2064128257,18.0,0.020524515400000002,,,,,,,,,,,,
9,EP1,NAN3,HHZ,1.5519816692,0.854588275,0.0114064258,-140.3803054106,-154.0625037918,-135.9115228749,18.1509809169,637,,,,,,,,,,,,,,,,,,
10,EP1,NAN3,HHZ,1.6028626283,0.9728152051000001,0.012002428,-146.1992836381,-156.0322054632,-135.5469516609,20.4852538023,727,,,,,,,,,,,,,,,,,,
11,EP1,NAN3,HHZ,1.7555055055,0.6690996614,0.0387229601,-144.5147161388,-156.368854408,-135.1131582012,21.2556962068,1137,,,,,,,,,,,,,,,,,,
12,EP1,NAN3,HHZ,1.8267388482,0.4717676709,0.0082518988,-141.2800648294,-155.215798571,-137.3235473633,17.8922512077,138,,,,,,,,,,,,,,,,,,
13,EP1,NAN3,HHZ,2.0166944288,0.6349636611,0.0316593686,-150.4742171416,-154.8185381077,-138.1472064001,16.6713317076,799,,,,,,,,,,,,,,,,,,
14,EP1,NAN3,HHZ,2.2744912882,0.3371681957,0.0101318099,-141.6329246628,-154.7103519172,-137.4666646525,17.2436872647,172,,,,,,,,,,,,,,,,,,
15,EP1,NAN3,HHZ,2.3321563751,0.34949330700000003,0.008691551300000001,-141.5651390978,-154.1628392894,-137.2736148567,16.8892244327,174,0.36873747490000003,0.1803607214,0.5430861723,0.3627254509,6.0,0.0344827586,,,,,,,,,,,,
16,EP1,NAN3,HHZ,2.3864293980999998,0.43185658130000004,0.05,-141.211487428,-153.9029688405,-137.018266697,16.8847021435,903,0.5851703407000001,0.4388777555,0.7294589178,0.29058116230000003,31.0,0.0343300111,,,,,,,,,,,,
17,EP1,NAN3,HHN,1.0176778341,0.6836645363,0.013041776900000001,-148.2557862307,-156.942154634,-138.7797479725,18.1624066615,874,,,,,,,,,,,,,,,,,,
18,EP1,NAN3,HHN,1.0807096159,0.8891113433000001,0.0122331986,-147.1655670655,-155.3164391221,-137.2316917465,18.0847473756,770,,,,,,,,,,,,,,,,,,
19,EP1,NAN3,HHN,1.1476808840000001,1.0376760348,0.0210178791,-144.7930351059,-154.6253463348,-135.3388896934,19.2864566414,1603,,,,,,,,,,,,,,,,,,
20,EP1,NAN3,HHN,1.2107126658,1.0869345915,0.0152956858,-146.0997930003,-155.8571706095,-135.7871174784,20.0700531311,1317,,,,,,,,,,,,,,,,,,
21,EP1,NAN3,HHN,1.2855629067,0.770890202,0.0194809412,-144.3227065092,-155.1880221013,-134.6646482051,20.5233738962,1194,,,,,,,,,,,,,,,,,,
22,EP1,NAN3,HHN,1.3604131475,1.2786952250999999,0.018861340900000002,-141.2540948291,-151.6324051607,-131.0055133766,20.6268917841,1909,,,,,,,,,,,,,,,,,,
23,EP1,NAN3,HHN,1.4234449293,0.9613496783000001,0.0171656193,-142.3512562845,-153.4977860995,-131.2699108544,22.2278752451,1142,0.5030060120000001,0.3967935872,0.5911823647000001,0.1943887775,15.0,0.0131348511,,,,,,,,,,,,
